;Pregunta;respuesta;
51;¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Industrial?;En el segundo piso del bloque B por las escaleras internas;
52;¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Ambiental?;En el segundo piso del bloque B por las escaleras internas;
53;¿Dónde puedo encontrar el director o directora de la carrera Ingenieria Electronica?;En el segundo piso del bloque B por las escaleras internas;
54;¿Dónde puedo encontrar el director o directora de la carrera Matematicas?;En el segundo piso del bloque B por las escaleras internas;
55;¿Dónde puedo encontrar el director o directora de la carrera Ciencias de la computacion e inteligencia artificial?;En el segundo piso del bloque B por las escaleras internas;
56;¿Cuál es el correo electrónico del director o directora de la carrera Ingenieria Industrial?;diany.puccini@usa.edu.co;
57;¿Cuál es el correo electrónico del director o directora de la carrera Ingenieria Electronica?;camilo.salazar@usa.edu.co;
58;¿Cuál es el correo electrónico del director o directora de la carrera matematicas?;martha.corrales@usa.edu.co;
59;¿Cuál es el correo electrónico del director o directora de la carrera Ciencias de la computacion e inteligecia artificial?;camilo.salazar@usa.edu.co;
60;¿Puedo hacer doble titulación?;Claro, esto te ayudará a contar con un mejor perfil profesional y aumentará tus habilidades para el campo laboral. Si quieres mas información del proceso por favor enviar la solicitud a la dirección para contar con un estudio de homolgación que te indique las asignaturas adicionales que deberas cursar, recuerda que los creditos de doble titulación tienen un descuento del 50%, solo si te encuentras activo en ambos programas. ;
61;¿Cómo puedo hacer una doble titulación? ;Por favor enviar la solicitud a la dirección para contar con un estudio de homolgación que te indique las asignaturas adicionales que deberas cursar.;
62;¿Cómo sé qué materias debo ver este semestre?;Las materias que deberas cursar corresponden a las reflejadas en tu plan de estudios segun semestre académico.;
63;¿Existe un mínimo de créditos que deba cursar por semestre?;Existen tres tipos de matrícula académica: Por créditos correspondiente a un máximo de  4 créditos, media matrícula correspondiente a un máximo de  8 créditos y matrícula completa de 9 créditos en adelante. ;
64;¿Dónde puedo solicitar el duplicado de mi carnet?;Con el Departamento de Seguridad, recuerda que esto tiene un costo. ;
65;¿Qué precio tiene el duplicado del carnet?;$28.290;
66;¿Cuánto tiempo tarda el duplicado del carnet?;Por lo general te lo entregan en el mismo momento o deberas esperar tres días habiles.;
67;¿Qué pasa si soy becado y no logro mantener el promedio requerido?;Lamenteblemente perderas el veceficio, puesto que estas incumpliendo con uno de los requisitos exigidos para matener la misma. ;
68;¿Cuál es la nota mínima para aprobar una materia?;3,0;
69;¿Puedo realizar un cambio de horario?;Si, siempre y cuando la solicitud se realice dentro de las fechas establecidad por calendario académico y cuente con cupos la asignatura;
70;¿Dónde puedo gestionar el cambio de horario?;Deben enviar la solicitud al correo ecei@usa.edu.co ;
71;¿Dónde puedo solicitar el aplazamiento el semestre?;Deben enviar la solicitud al correo ecei@usa.edu.co ;
72;¿Cuántas veces puedo aplazar del semestre?;Dentro del Reglamento Estudiantil no se establece un número limite de aplazamiento, pero, si al momento de solcitar reintegro el programa ha tenido una modificación en el plan de estudios el estudiante debera acogerce a dicho cambio. ;
73;¿Cuáles son los requisitos de grado?;1. Finalizar la totalidad de créditos establecidos por el plan de estudios. 2. Certificación y/o resultados de presentación de Saber Pro. 3. Requisito de segunda lengua. ;
74;¿Dónde debo inscribirme para realizar mis prácticas?;Debe inscribirse al correo practicas.ecei@usa, directamente en las fechas estipuldas dadas por la ccoridnación de practicas.;
75;¿Cuánto tiempo duran las prácticas?;6 Meses;
76;¿Cuántos vale un credito academico para pagar los creditos adicionales?;"Dependiendo del programa académico: 
INGENIERÍA INDUSTRIAL  $ 307.900
CIENCIAS DE LA COMPUT. E INTELIG.ARTIF. $300.000
INGENIERÍA ELECTRÓNICA $299.500
INGENIERÍA AMBIENTAL $271.900
MATEMÁTICAS  $314.900";
77;¿Qué electivas que puedo cursar este semestre?;"Dependiendo del programa académico: 
INGENIERÍA INDUSTRIAL  
Ingeniería Organizacional
Toma de decisiones
Ingeniería Humanitaria
Lean Manufacturing

CIENCIAS DE LA COMPUT. E INTELIG.ARTIF. 
Ciencias de Datos
Optativa 1 Introducción a la Ciencia de Datos.
Optativa 2 Exploración y preprocesamiento de datos.
Optativa 3   Modelos predictivos.
Computación de Alto Rendimiento para IA
Optativa 1 Introducción a HPC.
Optativa 2 Métricas de Rendimiento y Algoritmo.
Optativa 3 Redes Neuronales para Clasificación de Imágenes
Ciberseguridad y Seguridad Digital
Optativa 1 Fundamentos Avanzados de Ciberseguridad Ethical Hacking.
Optativa 2 Investigación Digital Forense Ciberseguridad Industrial.
Optativa 3 Criptografía Ciberseguridad y Ciberdefensa.
Sistemas Inteligentes
Optativa 1 Sistemas Inteligentes
Optativa 2 Aprendizaje Supervisado
Optativa 3 Aprendizaje profundo

INGENIERÍA ELECTRÓNICA 
Telecomunicaciones
Comunicaciones análogas y digitales			
Medios de transmisión			
Telemática			
Redes			
Comunicaciones terrestres y satelitales			
Comunicaciones móviles	

Energía
Máquinas eléctricas			
Generación y almacenamiento de energía			
Smart Grids	

Automatización y Control 
Modelación e identificación de sistemas			
Sistemas de control analógico y digital			
Automatización			
Control inteligente	

Internet de las Cosas (IoT)
Introducción a IoT			
Diseño de dispositivos IoT			
Redes de sensores inhalambricos		


Máquinas Inteligentes
Aprendizaje de máquinas			
Robótica			
Visión por computador


Bioingeniería
Introducción a la Bioingeniería			
Bioinstrumentación			
Biónica						
					
INGENIERÍA AMBIENTAL
Cambio Climático y gestión del riesgo
Optativa A1. La ciencia del clima y meteorología
Optativa A2. Política y economía para el cambio climático
Optativa A3. Formulación y evaluación de proyectos
para el cambio climático
Optativa B1. Gestión integral del riesgo
Optativa B2. Gestión de riesgos naturales
Optativa B3. Gestión de riesgos antrópicos
Desarrollo territorial Sostenible e inteligente
Optativa A1. Ingeniería y ciudad
Optativa A2. Gobernanza y ciudades inteligentes
Optativa A3. Analítica de datos al componente urbano
Optativa B1. Ingeniería humanitaria
Optativa B2. Política y desarrollo rural
Optativa B3. Proyectos de desarrollo rural
Economía circular y energías alternativas 
Optativa A1. Ciencias de los materiales
Optativa A2. Economía circular
Optativa A3. Análisis de ciclo de vida
Optativa B1. Energías renovables y medio ambiente
Optativa B2. Gestión energética y auditorias
Optativa B3. Formulación de proyectos energéticos

MATEMÁTICAS 
ANÁLISIS MATEMÁTICO
· Ecuaciones Diferenciales Parciales
· Análisis Funcional
· Teoría de la Medida
· Procesos Estocásticos
ÁLGEBRA
· Teoría de Galois Clásica
· Álgebra Lineal Avanzada
· Teoría de Categorías
· Tópicos Avanzados de Teoría de Grupos y Anillos
· Temas Avanzados de Teoría de Números
· Teoría de Cuerpos
LÓGICA
· Lógica Categórica
· Teoría de Modelos
· Lógica no Clásica
TOPOLOGÍA
· Topología Diferencial
· Topología Algebraica
HISTORIA DE LA MATEMÁTICA Y FILOSOFÍA DE LA CIENCIA
· Clásicos Griegos
· Matemática Moderna y Filosofía de la Matemática
· Epistemología y Didáctica de la Matemática
ANÁLISIS DE DATOS
· Estadística Matemática
· Programación

";"
"
78;¿Qué puedo hacer si tengo dificultades con una materia?;Puedes escribir un correo a tu coordinadora liliana.castro@usa.edu.co o visitarla en el Bloque B, piso 2;
79;¿Dónde puedo pedir prestado un computador?;Debes realizar la reserva de equipo medios audiovisuales del bloque F- 4 Piso.;
80;¿Quién es la persona encargada de las prácticas?;La coordinadora Sandra Rodríguez, su correo es practicas.ecei@usa.edu.co;
81;¿Cómo me puedo inscribir en el deporte de la universidad?;Con el coordinador de Deportes en el Centro de Formación Deportiva ;
82;¿Hay algún requisito para cambiarme de carrera?;No ;
83;¿Cuáles son las áreas de especialización disponibles para la carrera ingeniería industrial?;"En la Escuela de Ingeniería contamos con las siguientes especializaciones y maestrías:

Especialización en Gerencia de Producción y Operaciones
Enfocada en la optimización de procesos productivos y la gestión eficiente de operaciones dentro de las organizaciones.

Maestría en Gerencia de Producción y Operaciones
Programa avanzado que proporciona herramientas estratégicas para liderar y mejorar los procesos de producción y las operaciones en diversos sectores industriales.

Especialización en Dirección y Gestión de Proyectos
Formación especializada en la planificación, ejecución y control de proyectos, garantizando el éxito en términos de tiempo, costos y calidad.

Maestría en Gestión y Optimización de la Calidad
Programa orientado a desarrollar competencias en la gestión y mejora continua de la calidad en los procesos organizacionales.

Especialización en Gerencia Integral de la Calidad
Enfocada en la implementación y gestión de sistemas de calidad que aseguren la mejora constante en todos los niveles de una organización.";
84;¿Cuáles son las áreas de especialización disponibles para la carrera ingeniería ambiental?;"En la Escuela de Ingeniería contamos con las siguientes especializaciones y maestrías: Especialización en en Gerencia Ambiental y Gestión de Riesgo de Desastres 
Maestría en Gestión y Evaluación Ambiental 
";
85;¿Cuáles son las áreas de especialización disponibles para la carrera ingenieria Electronica?;"En la Escuela de Ingeniería contamos con las siguientes especializaciones y maestrías:  Especialización en Seguridad de la Información y la informatica

Maestría en Gestión de la Información y Tecnologias Geoespaciales
Maestría en inteligencia Artificial
";
86;¿Cuáles son las áreas de especialización disponibles para la carrera Matemáticas?;"En la Escuela de Ingeniería contamos con las siguientes especializaciones y maestrías: Maestría en Gestión de la Información y Tecnologias Geoespaciales
Maestría en inteligencia Artificial
Maestría en Matematicas Aplicadas
";
87;¿Cuáles son las áreas de especialización disponibles para la carrera ciencias de la computación e inteligencia artificial?;"En la Escuela de Ingeniería contamos con las siguientes especializaciones y maestrías: Maestría en Gestión de la Información y Tecnologias Geoespaciales
Maestría en inteligencia Artificial
";
88;¿Como puedo formar parte de los semilleros de investigación?;Cada inicio de semestre se comparte un correo de convocatoria con la oferta de semillero y contacto del docente, es importante enviar correo con la menor premura posible, puesto que los cupos son limitados;
89;¿Cuáles son los requisitos para ingresar a los semilleros de investigación?;Por lo general no cuentan con requisitos, pero si es así el docente responsable lo infomara en el momento de la socliud de inscripción. ;
90;¿Qué debo hacer si se me daña un equipo?;Reportar de inmediato a los auxiliares de labortaorio encargados de las salas.;
91;¿Qué debo hacer si encuentro un equipo dañado?;Reportar de inmediato a los auxiliares de labortaorio encargados de las salas.;
92;¿Existe algún tutor que me pueda orientar con mi proyecto de grado?;Si, hay docentes designados para tal fin, por favor validar con la dirección del programa ;
93;¿Dónde puedo solicitar un tutor para mi proyecto de grado?;En la Escuela con el Director de programa, recuerda que tu propuesta debe estar previamente aprobada por la Dirección. ;
94;¿Con qué empresas puedo realizar mis prácticas?;Las practicas se realizan con cualquier empresa, siempre y cuando se encuentre legalmente constituida, se realice vinculación de prácticante y tus funciones esten a fin con tu programa académico. ;
95;¿Cuál es la nota final de una materia para poder realizar una habilitación?;La nota perdida de la asignatura debe ser igual o superior a 2.5 ;
96;¿Cuál es el valor de una habilitación?;$1.250.510;
97;Si encuentro un objeto perdido ¿a dónde debo llevarlo?;A Bienestar Universitario;
98;¿Qué es la homologación de asignaturas en la Universidad Sergio Arboleda?;La homologación de asignaturas es el mecanismo mediante el cual el Director del Programa Académico que recibe al estudiante acepta como equivalente una asignatura cuando sus objetivos, créditos, contenidos e intensidad horaria son semejantes a los del postgrado ofrecido por la Universidad Sergio Arboleda y la nota es aprobatoria, en los términos del artículo 30 del reglamento.;posgrados
99;¿Qué es la homologación interna?;La homologación interna ocurre cuando el estudiante que solicita la homologación de una o varias asignaturas proviene de un programa cursado en la Universidad Sergio Arboleda. Esta homologación operará directamente, previa verificación del Director del Postgrado y concepto favorable de la Decanatura de la Escuela. Se registrará la calificación que el estudiante obtuvo en el programa del cual proviene y se asignará el número de créditos académicos establecidos para la asignatura en el nuevo programa.;posgrados
100;¿Qué es la homologación por convenio?;La homologación por convenio se realiza de acuerdo con los convenios interinstitucionales nacionales e internacionales. Esta homologación operará directamente según lo establecido en el convenio. El Director del Programa deberá solicitar al Decano de la Escuela respectiva la inscripción de la homologación aprobada en el sistema académico.;posgrados
101;¿Qué es la homologación externa?;La homologación externa ocurre cuando un estudiante solicita que le sean homologadas asignaturas cursadas en otro programa de postgrado de una institución de educación superior. La Universidad Sergio Arboleda determinará la viabilidad de dicha solicitud, la cual no podrá exceder el 40% del total de los créditos del programa en el que se encuentra matriculado. El Director del Postgrado verificará que los objetivos, créditos, contenidos e intensidad horaria sean semejantes y que la nota definitiva haya sido aprobatoria en los términos del artículo 30 del reglamento.;posgrados
102;¿Cuál es la validez de los créditos académicos cursados y aprobados para ser homologados?;Los créditos académicos cursados y aprobados tendrán una validez hasta de tres (3) años para Especialización y hasta de cinco (5) años para Maestría y Doctorado, previo concepto favorable del Director, para que la Universidad los reconozca como créditos que pueden ser homologados en otros planes de estudio diferentes a aquel en el que estaba inscrito el estudiante.;posgrados
103;¿Qué es la prueba de validación por suficiencia?;La prueba de validación por suficiencia permite a los estudiantes solicitar pruebas de validación cuando consideran que sus conocimientos son acreditables con suficiencia. Corresponderá al Director del Programa decidir sobre la solicitud y hacer exigibles los requisitos adicionales. La validación producirá el efecto de la homologación si el examen es aprobado con una nota igual o superior a cuatro punto cero (4.0).;posgrados
104;¿Cuándo deben presentarse las pruebas de validación por suficiencia?;Las pruebas de validación deberán ser presentadas durante el período académico que curse el estudiante y consistirán en un examen diseñado por el Director de la respectiva especialización, maestría o doctorado. Este examen tiene por objeto comprobar el conocimiento sobre la totalidad de la asignatura que se pretende validar.;posgrados
105;¿Cuál es el límite para la validación de créditos académicos mediante pruebas de suficiencia?;Podrá validarse hasta el 25% del total de créditos académicos mediante pruebas de validación por suficiencia.;posgrados
106;¿Qué es la evaluación en la Universidad Sergio Arboleda?;a evaluación es el acto mediante el cual el docente valora y estimula el proceso de enseñanza-aprendizaje mediante la emisión de juicios, con el fin de estimar los conocimientos, aptitudes y rendimiento de los estudiantes.;posgrados
107;¿Qué tipo de evaluaciones pueden implementar los docentes según la política institucional?;Los docentes deben implementar un modelo participativo en sus evaluaciones, que puede incluir trabajos de investigación dirigidos, talleres, ensayos, roles, informes u otros métodos apropiados. Las evaluaciones pueden ser orales o escritas, y pueden utilizar herramientas tecnológicas, siendo presenciales o virtuales, según la modalidad y exigencias del programa.;posgrados
108;¿Qué debe hacer el profesor al inicio de cada asignatura en relación con las evaluaciones?;Al inicio de cada asignatura, el profesor debe entregar a los estudiantes el programa que incluya el contenido, la metodología de evaluación y el valor de las pruebas, previa aprobación del Director del Programa. No se aceptan autoevaluaciones ni notas apreciativas.;posgrados
109;¿Dónde y cuándo se presentan las pruebas según el reglamento?;Las pruebas se presentarán en las instalaciones de la Universidad en la fecha y hora fijadas por la respectiva autoridad académica, dentro del Calendario Académico.;posgrados
110;¿Cuál es la escala numérica utilizada para la calificación y su equivalente cualitativo?;La escala numérica utilizada para la calificación es la siguiente:                                                                                                                                     Cinco punto cero (5.0): Excelente;posgrados
111;;Cuatro punto cinco (4.5): Muy Bueno;posgrados
112;;Cuatro punto cero (4.0): Bueno;posgrados
113;;Tres punto cinco (3.5): Aceptable;posgrados
114;;Tres punto cero (3.0): Mínimo aceptable;posgrados
115;;Dos punto cinco (2.5): Deficiente;posgrados
116;;Dos punto cero (2.0): Malo;posgrados
117;;Uno punto cinco (1.5): Mínimas calificaciones;posgrados
118;¿Cuál es la calificación aprobatoria mínima para todas las pruebas y asignaturas?;La calificación aprobatoria mínima para todas las pruebas presentadas y para una asignatura que se cursa por primera vez es de tres punto cinco (3.5).;posgrados
119;¿Cómo se maneja la aproximación de calificaciones cuando se expresan en centésimas?;Cuando una calificación definitiva arroje como resultado una cifra expresada en centésimas, se aproximará a la décima más cercana.;posgrados
120;¿Qué calificación se asigna a los estudiantes que pierden la asignatura por fallas o no presentan examen supletorio?;Se extenderá una nota de cero punto cero (0.0) para los estudiantes que hayan perdido la asignatura por fallas. La misma calificación será asignada a quienes no hayan presentado examen supletorio.;posgrados
121;¿Cuándo se reconocerá una asignatura como aprobada y se concederán los créditos correspondientes?;Solo cuando en la calificación final se haya alcanzado por lo menos la calificación aprobatoria mínima de tres punto cinco (3.5) se reconocerá la asignatura como aprobada y se concederán los créditos asignados a dicha asignatura como válidos para la obtención del título que otorga el Programa.;posgrados
122;¿Qué tipo de pruebas supletorias se pueden presentar?;Se pueden presentar pruebas supletorias de las evaluaciones orales y escritas, de los trabajos y de las pruebas parciales o finales.;posgrados
123;¿Quién autoriza la presentación de pruebas supletorias y cuál es el procedimiento para solicitarlas?;La autorización para la presentación de pruebas supletorias será otorgada por el respectivo Director del Programa y/o el Decano de la Escuela respectiva. La justificación para solicitarla se debe hacer mediante un escrito dirigido al Director del Programa Académico dentro de los cinco (5) días hábiles siguientes a la fecha en que se realizó la prueba. El Director decidirá sobre la procedencia dentro de los cinco (5) días hábiles siguientes a la recepción de la solicitud e indicará, en caso de aceptarla, la fecha y forma de desarrollo del examen supletorio.;posgrados
124;¿Existe alguna posibilidad de presentar una prueba supletoria si se pierde el examen supletorio?;No, no habrá prueba supletoria del examen supletorio y su no presentación será calificada con cero punto cero (0.0).;posgrados
125;¿De qué tipo serán las pruebas supletorias comparadas con las pruebas originales?;Las pruebas supletorias de los exámenes, parciales, trabajos y evaluaciones orales en clase serán del mismo tipo de la realizada originalmente.;posgrados
126;¿Cuándo se fijará la fecha de presentación de una prueba supletoria?;La fecha de presentación de la prueba supletoria se fijará dentro de los cinco (5) días hábiles siguientes a la fecha en que fue autorizada la prueba supletoria.;posgrados
127;¿Qué costo tienen las pruebas supletorias y cuándo se debe cancelar?;El costo de las pruebas supletorias será el que señale la Universidad. El estudiante debe cancelar el costo antes de la presentación del examen correspondiente.;posgrados
128;¿Qué debe hacer un estudiante si desea reclamar sobre las calificaciones obtenidas en exámenes parciales, finales o trabajos?;El estudiante debe presentar un reclamo por escrito ante el Director del Programa Académico dentro de los cinco (5) días hábiles siguientes al día en que se publica la calificación en referencia. La petición debe ser sustentada en forma clara y precisa.;posgrados
129;¿Quién concede la revisión de las calificaciones y cómo se tramitará?;El Decano o el Director del Programa concederán la revisión mencionada, la cual se tramitará ante el correspondiente docente.;posgrados
130;¿Qué puede suceder con la calificación tras la revisión?;En la revisión efectuada, se podrá disminuir, confirmar o aumentar la calificación obtenida por el estudiante. La nota resultante será la que se registre oficialmente.;posgrados
131;"¿Qué se entiende por ""publicación"" de una calificación?";Se entiende por publicación el acto por medio del cual la autoridad competente del Programa académico da a conocer la calificación, a través del mecanismo establecido por la Universidad.;posgrados
132;¿Qué puede hacer un estudiante si considera que la decisión del profesor no corresponde a los criterios de evaluación?;El estudiante puede solicitar la designación de un segundo calificador mediante un escrito debidamente sustentado, dirigido al Director de Especialización, Maestría o Doctorado o al Decano de la Escuela, dentro de los cinco (5) días hábiles siguientes al conocimiento de la decisión. Si la petición está fundamentada, se procederá a designar un segundo calificador cuya decisión será definitiva e inmodificable y reemplazará la primera nota.;posgrados
133;¿Qué debe hacer un estudiante si está en desacuerdo con la calificación de una evaluación oral?;El estudiante debe manifestar su desacuerdo al profesor inmediatamente después de conocida la calificación y solicitar su reconsideración. En la revisión de las evaluaciones orales se levantará un acta en la cual se reconstruye la evaluación oral utilizando los medios establecidos por la Universidad y se consignarán las razones para la confirmación o modificación de la calificación.;posgrados
134;¿Cuál es la calificación mínima aprobatoria para una asignatura en el reglamento de posgrados?;La calificación mínima aprobatoria para una asignatura es de tres punto cinco (3.5).;posgrados
135;¿Qué ocurre si un estudiante reprueba una asignatura?;Toda asignatura que se repruebe debe repetirse. Una asignatura puede repetirse hasta por dos veces.;posgrados
136;¿Cuál es la nota mínima aprobatoria si un estudiante repite una asignatura por primera vez?;Si la asignatura se repite por primera vez, la nota mínima aprobatoria deberá ser de cuatro punto cero (4.0).;posgrados
137;¿Cuál es la nota mínima aprobatoria si un estudiante repite una asignatura por segunda vez?;Si la asignatura se repite por segunda vez, la nota mínima aprobatoria deberá ser de cuatro punto cinco (4.5).;posgrados
138;¿Qué deben hacer los estudiantes para repetir una asignatura?;La repetición de una asignatura podrá hacerse previo el pago de los derechos económicos correspondientes, cursando la materia en un período académico regular o mediante cursos nivelatorios.;posgrados
139;Qué son los cursos nivelatorios?;Los cursos nivelatorios son aquellos que permiten a los estudiantes nivelar las asignaturas que hayan cursado y perdido, aplazado o retirado, así como ver asignaturas que no hayan cursado, en períodos diferentes a los regulares, programados por la Dirección del correspondiente Postgrado.;posgrados
140;Cómo se imparten los cursos nivelatorios?;Los cursos nivelatorios podrán dictarse de manera semipresencial bajo la directa supervisión de un docente experto en el tema y designado para tal fin por el Director del Programa.;posgrados
141;¿Cuál es la equivalencia entre los cursos nivelatorios y los cursos regulares?;El contenido, la metodología y la intensidad horaria de cada curso nivelatorio serán los mismos que los del curso regular.;posgrados
142;¿De qué depende la programación de los cursos nivelatorios?;La programación de los cursos nivelatorios es discrecional de la Universidad y dependerá del número de estudiantes que aspiren a cursarlos.;posgrados
143;¿Qué entidad establece las condiciones y el costo de los cursos nivelatorios?;La Decanatura de la Escuela respectiva podrá establecer las condiciones y la forma en que se desarrolle cada curso, y su costo será el que para tal efecto estipule la Dirección Financiera de la Universidad.;posgrados
144;¿Cuáles son los requisitos académicos para optar al título en los programas de posgrado?;Para obtener el título correspondiente, el estudiante deberá cumplir con los siguientes requisitos:                                                                                               1. Haber cursado y aprobado la totalidad de los créditos académicos establecidos por cada Programa, así como cumplir los requisitos específicos establecidos en los reglamentos internos para las Maestrías y Doctorados.;posgrados
